1,18,1,4,3,4,3,1
2,17,0,5,3,3,3,0
3,15,0,4,3,2,3,0
4,15,0,3,2,2,5,0
5,16,0,4,3,2,5,0
6,16,0,5,4,2,5,0
7,16,0,4,4,4,3,0
8,17,1,4,1,4,1,1
9,15,1,4,2,2,1,0
10,15,0,5,5,1,5,0
11,15,0,3,3,3,2,1
12,15,0,5,2,2,4,0
13,15,0,4,3,3,5,0
14,15,0,5,4,3,3,1
15,15,1,4,5,2,3,0
16,16,0,4,4,4,2,1
17,16,0,3,2,3,2,0
18,16,0,5,3,2,4,0
19,17,0,5,5,5,5,0
20,16,0,3,1,3,5,0
21,16,0,4,5,1,5,0
22,16,0,5,4,4,5,0
23,16,0,4,2,3,5,0
24,16,0,2,4,4,4,1
25,16,0,5,5,5,5,0
26,16,0,4,4,3,1,1
27,16,0,3,4,4,4,0
28,15,0,4,4,4,2,1
29,16,0,5,4,3,1,1
30,17,0,4,5,1,3,0
31,17,0,5,4,5,5,0
32,17,0,5,4,5,5,0
33,19,0,4,5,4,4,1
34,17,0,4,2,1,4,0
35,17,0,2,2,2,5,0
36,18,0,5,2,5,4,0
37,17,0,3,3,2,5,0
38,17,0,5,3,3,2,1
39,17,0,5,3,5,5,0
40,17,0,4,4,4,5,0
41,17,0,4,4,4,4,0
42,17,0,4,3,4,4,0
43,17,0,5,2,3,2,0
44,17,0,5,3,3,3,0
45,17,0,4,4,4,5,0
46,19,0,4,3,3,3,0
47,18,0,4,4,4,5,1
48,18,0,3,2,4,4,0
49,18,0,3,3,3,4,0
50,18,0,5,3,3,4,0
51,18,0,4,3,2,3,0
52,18,0,5,5,4,2,1
53,17,0,2,5,5,5,0
54,17,1,3,3,3,4,0
55,18,0,4,4,4,3,1
56,22,0,5,4,5,1,1
57,18,0,4,3,3,5,0
58,19,1,4,3,1,1,1
59,18,0,5,2,4,4,0
60,19,0,4,3,5,5,1
61,19,0,4,4,4,3,1
62,18,0,4,4,3,3,1
63,20,1,5,5,3,5,1
64,19,0,4,3,4,4,1
65,19,0,4,5,3,5,1
66,19,0,4,4,3,3,0
67,19,0,4,2,4,3,0
68,19,0,3,4,1,2,1
69,19,0,4,5,2,4,0
70,20,0,5,4,3,3,1
71,20,1,5,5,4,4,1
72,17,0,2,4,5,2,1
73,21,0,5,5,3,3,1
74,18,0,4,4,1,5,0
75,19,0,3,2,3,5,0
76,20,1,2,3,4,3,1
77,20,1,4,2,2,4,0
78,19,0,4,3,5,2,1
79,19,1,2,3,4,3,1
80,20,0,5,2,3,5,0
